Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com
201600000464,16,11,28,1330,1,2,1,1,6,462
201600000465,16,12,15,1445,1,2,1,1,6,462
201600000466,16,1,14,1030,1,1,1,2,7,234
201600000467,16,3,7,800,1,2,1,8,6,157
201600000468,16,5,15,1230,1,1,1,1,7,454
201600000469,16,6,28,1745,1,1,1,1,3,559
201600000470,16,9,1,900,1,1,1,1,1,16
201600000471,16,5,5,2345,5,2,1,1,6,664
201600000472,16,7,4,2215,3,1,1,1,7,486
201600000473,16,9,4,15,5,2,1,1,6,565
201600000474,16,4,25,715,1,1,1,1,2,524
201600000475,16,2,27,30,3,1,9,1,1,120
201600000476,16,6,21,845,1,2,1,3,2,524
201600000477,16,1,14,1800,3,1,1,2,1,116
201600000478,16,1,27,1015,1,1,9,8,3,116
201600000479,16,2,6,1000,1,1,9,1,3,116
201600000480,16,6,16,1545,1,2,1,1,2,439
201600000481,16,8,26,545,3,1,1,1,3,317
201600000482,16,10,12,2230,3,1,1,1,7,313
201600000483,16,11,16,800,2,2,1,8,3,15
201600000484,16,11,16,1445,1,1,1,1,1,116
201600000485,16,11,24,1515,2,2,1,1,6,313
201600000486,16,12,1,1745,3,1,1,9,7,439
201600000487,16,12,13,1545,1,1,1,1,6,439
201600000488,16,2,6,2000,3,1,1,6,5,581
201600000489,16,2,27,1415,1,2,1,1,7,201
201600000490,16,5,27,1745,1,2,1,1,7,216
201600000491,16,11,8,2000,3,1,1,1,1,216
201600000492,16,3,3,1600,1,1,1,1,1,537
201600000493,16,7,23,1015,1,1,1,1,2,129
201600000494,16,10,13,1930,5,2,1,2,3,119
201600000495,16,11,30,1730,2,1,1,1,4,392
201600000496,16,1,15,1230,1,1,1,1,4,369
201600000497,16,1,16,1900,3,1,1,1,1,491
201600000498,16,3,1,815,1,1,1,1,6,579
201600000499,16,3,4,1830,2,1,2,2,5,579
201600000500,16,5,18,1215,1,1,1,1,3,369
201600000501,16,6,3,1915,2,2,1,1,7,402
201600000502,16,6,11,2100,2,1,1,3,6,579
201600000503,16,6,22,1000,1,2,1,1,1,402
201600000504,16,6,28,2030,1,2,1,1,6,491
201600000505,16,7,1,1630,1,1,1,1,1,579
201600000506,16,11,10,1730,3,1,1,2,1,491
201600000507,16,1,9,1715,2,1,1,1,7,99
201600000508,16,1,11,1415,1,1,1,1,3,441
201600000509,16,1,28,1500,2,1,1,1,1,166
201600000510,16,4,12,915,1,1,1,1,6,531
201600000511,16,8,9,1300,1,1,1,1,6,483
201600000512,16,9,5,1100,1,1,1,8,3,125
201600000513,16,9,5,815,1,1,1,8,1,281
201600000514,16,9,10,1800,1,1,1,1,6,294
201600000515,16,9,25,145,3,1,1,1,3,48
201600000516,16,11,14,1800,3,1,9,1,1,24
201600000517,16,11,21,645,2,1,1,1,1,254
201600000518,16,11,25,1915,3,1,1,1,1,166
201600000519,16,2,13,1400,2,1,1,2,2,471
201600000520,16,4,4,115,3,2,1,2,6,53
201600000521,16,5,8,345,3,1,1,1,7,362
201600000522,16,5,10,1415,1,1,1,2,7,121
201600000523,16,5,28,1430,1,1,1,1,3,410
201600000524,16,6,6,600,2,1,1,5,6,181
201600000525,16,9,20,2145,5,2,1,1,6,278
201600000526,16,3,8,700,1,1,1,1,2,124
201600000527,16,3,21,700,1,1,1,1,5,323
201600000528,16,4,10,1230,1,2,1,1,7,557
201600000529,16,5,15,2345,3,2,1,1,6,194
201600000530,16,6,17,1300,1,1,1,1,3,764
201600000531,16,6,30,1600,1,1,1,1,1,600
201600000532,16,9,27,1930,2,1,1,1,7,574
201600000533,16,10,8,1650,1,2,1,1,6,323
201600000534,16,12,27,1830,5,2,1,1,6,323
201600000535,16,1,16,1830,3,1,1,8,1,612
